id	q1.acc.pasture	q2.solid.feed	q3.bedding	q4.slatted.f	q5.slaugh.8m	a.origin	a.categ
R_A0BOXJFQzTAtxYJ	NA	NA	NA	NA	NA	b	veal
R_wLsJ0Vj2Wn1hQXL	NA	NA	NA	NA	NA	b	veal
R_8uZLC7s7NvLhXdn	NA	NA	NA	NA	NA	b	veal
R_SJLpwmKwX4X8slX	NA	NA	NA	NA	NA	b	veal
R_1P76UUmKJr8hoPp	NA	NA	NA	NA	NA	b	veal
R_p6tUpQ9XjKQ7z5D	3	2	2	2	1	d	veal
R_2c24W8xGxA18Ubl	NA	NA	NA	NA	NA	d	veal
R_1DqDnRoTRM1AJgk	NA	NA	NA	NA	NA	d	veal
R_3EtAzFGFTkbOMld	3	2	3	1	1	d	veal
R_6f1zX9VCxcmJ26Z	NA	NA	NA	NA	NA	d	veal
R_xyjgLiggbmUUylj	3	1	3	1	1	d	veal
R_3mlQnj8I8d8QvCS	NA	NA	NA	NA	NA	d	veal
R_3FP9Uon1haBJ9Pn	3	3	1	3	1	d	veal
R_2cw5wplYk1Fay5D	NA	NA	NA	NA	NA	d	veal
R_BA3MJVkrEivQzKN	3	2	2	1	1	d	veal
R_9Fwj5KgDsU241Vv	NA	NA	NA	NA	NA	d	veal
R_1Fb7QsWMRzEL1Dz	3	2	2	1	1	d	veal
R_3fwtjTkCSATUi7W	3	1	1	2	1	d	veal
R_25yJwdqRcy1lLDL	3	1	3	1	1	d	veal
R_12J8mTiQQhjADnp	NA	NA	NA	NA	NA	d	veal
R_2eaQZYlGhshonY9	3	1	2	2	2	d	veal
R_3EAn1cnHql4bkUM	3	2	2	2	1	d	veal
R_DdBOruQbogui7ap	NA	NA	NA	NA	NA	d	veal
R_3qqYZEr2bErmgHU	NA	NA	NA	NA	NA	d	veal
R_2wB9mquI7hXwnji	NA	NA	NA	NA	NA	d	veal
R_1od4UIhFj0lpD98	NA	NA	NA	NA	NA	d	veal
R_24AvPnmtMsxd2Rs	3	2	1	1	1	d	veal
R_3FUxMVDjBaaFl0Q	NA	NA	NA	NA	NA	d	veal
R_10qhdFD6DXfCoAo	3	1	1	2	1	d	veal
R_1jUF3d0Crle6TIS	3	1	3	1	1	d	veal
R_1r6yo1qxQZVuiOO	NA	NA	NA	NA	NA	d	veal
R_W3AKNfpPvb8BGzn	3	NA	NA	NA	NA	d	veal
R_2ZHLhFYQqEx9hoS	NA	NA	NA	NA	NA	d	veal
R_3GlEx8W9ySCDRdU	NA	NA	NA	NA	NA	d	veal
R_2EgSAOztzsBHzrD	NA	NA	NA	NA	NA	d	veal
R_2BboHMYMIvBrldB	2	1	1	2	1	d	veal
R_3R93J87oMj56oGk	NA	NA	NA	NA	NA	d	veal
R_3iVFMG5FpActOmI	2	2	1	2	1	d	veal
R_3NP3YJgpOD2Aieo	NA	NA	NA	NA	NA	d	veal
R_3EsDQMtCoovYb0c	NA	NA	NA	NA	NA	d	veal
R_8BaZEtzALcB7tDP	3	1	1	3	1	d	veal
R_SJcsQO0rhhHesxz	3	1	2	1	1	d	veal
R_33DrtwdUrnQRDk9	3	2	1	3	1	d	veal
R_322x7bkZvTtB4RM	NA	NA	NA	NA	NA	d	veal
R_2B9AqctUCavJZnr	NA	NA	NA	NA	NA	d	veal
R_2AThK0ypdznN22o	NA	NA	NA	NA	NA	d	veal
R_5C6RdnjBcMIpB5L	3	2	2	2	1	d	veal
R_3JgDxLQGZ06U9tk	3	1	1	2	2	d	veal
R_10GwBf8xQR0cr8h	3	1	3	1	2	d	veal
R_1g89TflcmEq5dyW	3	1	3	1	1	d	veal
R_6xRxRoMMEyuM5y1	3	1	1	1	1	d	veal
R_1CfLlEXlcLwcKCA	NA	NA	NA	NA	NA	d	veal
R_urE3aBaJrepGdmF	3	2	1	3	1	d	veal
R_3D5Dfp9dK7wkK8n	NA	NA	NA	NA	NA	d	veal
R_3Dc0ailmijra0bu	NA	NA	NA	NA	NA	d	veal
R_30pjztGP5OEKaFS	NA	NA	NA	NA	NA	d	veal
R_2TtPSAdmUztT7wL	NA	NA	NA	NA	NA	d	veal
R_UJuQ2MPz1AApbY5	NA	NA	NA	NA	NA	d	veal
R_0Pw4SJH7Rmy4GAh	3	1	1	2	1	d	veal
R_af1DrCKPNZbG4Zr	NA	NA	NA	NA	NA	d	veal
R_TuBpgV2dDwtQ1Jn	NA	NA	NA	NA	NA	d	veal
R_1Lhbp5lsxdTp4Xh	3	3	2	1	1	d	veal
R_32WTW3i3e1AcfJj	NA	NA	NA	NA	NA	d	veal
R_2X4gv5JfatTuCHj	3	2	3	2	1	d	veal
R_d7ilf18tbKr7ddv	NA	NA	NA	NA	NA	d	veal
R_3sh8WYaTYtmA54s	NA	NA	NA	NA	NA	d	veal
R_3QVJhduPxthkl0G	3	2	2	2	1	d	veal
R_2Ym7AwqfCagMAZJ	3	1	3	1	1	d	veal
R_1LG5JfAQifGKUuO	NA	NA	NA	NA	NA	d	veal
R_2vY58O2e0m6LTo0	3	1	2	2	1	d	veal
R_A0BOXJFQzTAtxYJ	3	1	3	3	1	d	veal
R_wLsJ0Vj2Wn1hQXL	NA	NA	NA	NA	NA	d	veal
R_8uZLC7s7NvLhXdn	NA	NA	NA	NA	NA	d	veal
R_SJLpwmKwX4X8slX	NA	NA	NA	NA	NA	d	veal
R_1P76UUmKJr8hoPp	NA	NA	NA	NA	NA	d	veal
